name,class,confidence,x1,y1,x2,y2,x,y
P,3,0.93433,50.44375,268.17972,98.28297,285.89346,74.36336,277.03659
P,3,0.91735,345.00449,274.41284,391.56201,293.64334,368.28324999999995,284.02809
P,3,0.90637,109.15014,269.26019,157.25752,288.23096,133.20382999999998,278.74557500000003
P,3,0.89633,520.81171,276.95255,569.02502,296.18085,544.918365,286.56669999999997
M,2,0.89066,515.15802,161.91423,577.1698,428.73743,546.16391,295.32583
P,3,0.8832,50.33891,221.92175,98.39685,239.14194,74.36788,230.531845
P,3,0.86659,51.14034,320.14285,97.56559,338.31335,74.352965,329.22810000000004
P,3,0.86189,110.67853,222.47107,158.56584,239.16284,134.622185,230.816955
M,2,0.82631,43.14504,194.71153,103.51222,402.89926,73.32863,298.80539500000003
P,3,0.82111,51.49916,240.96919,97.93617,251.62436,74.71766500000001,246.296775
P,3,0.81769,111.59434,241.48642,156.88216,253.02069,134.23825,247.253555
P,3,0.81035,50.87571,296.22781,97.04634,307.59543,73.961025,301.91161999999997
P,3,0.80645,344.57281,226.8557,393.4585,248.03511,369.01565500000004,237.445405
M,2,0.80217,103.87389,197.21716,162.99431,405.21924,133.4341,301.2182
P,3,0.78677,345.58234,302.44379,390.18921,314.3544,367.88577499999997,308.399095
P,3,0.78081,520.52313,329.11737,566.93158,347.3656,543.727355,338.241485
P,3,0.7459,521.02429,303.92551,567.75305,316.45721,544.38867,310.19136
P,3,0.69331,50.99417,286.76776,96.78513,299.18027,73.88964999999999,292.974015
P,3,0.6933,521.56885,178.34218,572.62592,207.59134,547.097385,192.96676000000002
B,0,0.67382,466.2673,247.07539,510.68399,259.19696,488.475645,253.13617499999998
B,0,0.66786,170.77475,178.21269,217.25014,198.94711,194.012445,188.5799
P,3,0.66732,50.60042,349.85452,72.57608,361.32611,61.58825,355.59031500000003
P,3,0.66044,129.71297,351.76309,155.05373,363.79153,142.38335,357.77731
P,3,0.65607,346.6452,246.97467,391.82718,258.71783,369.23618999999997,252.84625
P,3,0.63849,287.5571,275.81448,334.00061,292.88147,310.778855,284.347975
P,3,0.63843,287.49911,302.61441,332.35275,314.49179,309.92593,308.5531
B,0,0.61292,464.81705,217.52565,511.18115,230.67891,487.9991,224.10228
B,0,0.60935,0.0,180.72276,40.07332,198.60289,20.03666,189.662825
B,0,0.59875,462.92917,188.32617,511.59232,206.22661,487.260745,197.27639
B,0,0.56285,0.0,208.32228,39.34247,224.83871,19.671235,216.58049499999998
P,3,0.56026,109.92597,297.96274,154.96259,308.64252,132.44428,303.30263
P,3,0.55252,521.58179,296.43179,567.01501,308.13962,544.2983999999999,302.285705
P,3,0.54061,73.93425,349.15448,97.3953,361.87085,85.664775,355.51266499999997
P,3,0.51859,522.2572,229.14828,571.05219,247.15047,546.654695,238.14937500000002
B,0,0.48354,227.84245,171.65283,277.31952,199.89476,252.580985,185.773795
P,3,0.4754,345.53036,328.45663,389.01654,345.37436,367.27345,336.915495
P,3,0.46954,109.14162,297.32983,154.01297,307.94101,131.577295,302.63542
P,3,0.46933,345.55862,326.30774,389.0864,342.45212,367.32251,334.37993
P,3,0.46829,110.60313,288.2601,155.14491,300.90591,132.87402,294.583005
P,3,0.46402,286.50558,228.6088,335.42343,246.84676,310.96450500000003,237.72778
B,0,0.45776,404.03925,280.59946,450.92999,291.55533,427.48461999999995,286.077395
P,3,0.44307,522.87421,248.10139,569.60321,261.32669,546.23871,254.71404
B,0,0.43297,464.95865,228.98643,511.67587,243.59821,488.31726,236.29232000000002
Pc,4,0.41437,49.23785,167.26009,103.14058,198.43335,76.189215,182.84672
P,3,0.39673,346.67834,246.28476,390.79398,257.69843,368.73616,251.991595
B,0,0.38405,403.7204,271.36581,450.87872,286.14636,427.29956,278.756085
P,3,0.37482,405.90762,238.53941,452.78027,251.34741,429.34394499999996,244.94341
P,3,0.36915,107.20144,350.89868,129.14714,362.94312,118.17429000000001,356.9209
P,3,0.36223,520.98358,358.14612,562.89197,373.17905,541.937775,365.66258500000004
P,3,0.3608,110.26863,319.47919,154.72202,334.14761,132.49532499999998,326.8134
P,3,0.34543,110.4178,326.51633,154.7999,339.93002,132.60885000000002,333.22317499999997
P,3,0.33398,345.68857,239.64746,392.21652,253.90164,368.952545,246.77454999999998
Pc,4,0.33157,106.82544,167.65138,161.47772,199.88821,134.15158,183.769795
P,3,0.3233,50.68124,199.03052,98.46426,215.62743,74.57275,207.328975
P,3,0.32323,521.1413,328.32538,566.62701,343.07617,543.884155,335.700775
P,3,0.31228,345.99249,205.44682,393.05496,221.95882,369.523725,213.70282
P,3,0.31087,109.40934,287.54572,153.65877,299.89728,131.534055,293.7215
M,2,0.29797,279.62033,200.64247,337.65228,379.51318,308.636305,290.07782499999996
P,3,0.27919,347.81662,355.13455,389.90195,369.95715,368.859285,362.54585
P,3,0.26347,523.37036,248.54694,569.31567,261.59622,546.3430149999999,255.07158
B,0,0.25634,465.41986,188.88086,511.87222,206.35039,488.64604,197.61562500000002
P,3,0.25619,287.33179,244.03542,333.79938,258.8139,310.565585,251.42466
P,3,0.2382,404.13129,220.74072,452.43567,234.83745,428.28348,227.789085
P,3,0.23746,405.47348,221.23196,452.98529,236.06018,429.229385,228.64607
B,0,0.23681,467.36307,218.54939,511.85461,230.81686,489.60884,224.683125
P,3,0.23649,286.17508,303.14548,306.04489,312.98438,296.109985,308.06493
M,2,0.23143,279.20346,195.86552,337.9545,377.90039,308.57898,286.88295500000004
P,3,0.22982,405.30496,208.67062,453.14032,222.48747,429.22263999999996,215.579045
B,0,0.20366,0.0,235.82863,39.34272,250.50296,19.67136,243.165795
P,3,0.18892,405.38019,191.00021,454.20068,207.05556,429.790435,199.02788500000003
P,3,0.18677,522.67047,174.98845,573.45331,206.55031,548.06189,190.76938
Pc,4,0.18537,481.62756,119.44257,512.98486,131.71249,497.30621,125.57753
B,0,0.1846,463.16022,218.1805,487.13904,228.95488,475.14963,223.56769
P,3,0.18194,346.01636,293.81174,389.85977,306.81442,367.93806500000005,300.31308
B,0,0.1778,405.38019,191.00021,454.20068,207.05556,429.790435,199.02788500000003
P,3,0.17713,522.15564,228.21814,571.04724,247.33687,546.6014399999999,237.77750500000002
Pc,4,0.17283,481.11862,119.04614,511.27258,131.0858,496.1956,125.06597
B,0,0.1655,463.04138,227.45366,483.5257,236.39154,473.28354,231.9226
