epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.7514,3.28107,4.60939,0.00865,0.00071,0.00833,0.00015,8e-05,2.79035,4.5644,0.00671,0.0001111,0.0001111,0.0001111
2,177.482,2.91777,4.34847,0.00569,0.00974,0.14769,0.00623,0.0017,2.54139,4.34897,0.00512,0.000232859,0.000232859,0.000232859
3,269.313,2.7979,4.03672,0.00447,0.00912,0.27546,0.03336,0.0115,2.74051,4.25233,0.00495,0.000354145,0.000354145,0.000354145
4,381.016,2.55104,3.60395,0.00426,0.00628,0.30436,0.07447,0.0283,2.14988,3.97002,0.00388,0.000474959,0.000474959,0.000474959
5,499.468,2.40604,3.1112,0.00359,0.0707,0.49412,0.15432,0.06982,2.20807,3.51277,0.00386,0.0005953,0.0005953,0.0005953
6,618.819,2.43077,2.64303,0.00354,0.09853,0.6108,0.21437,0.09194,2.06318,2.81323,0.00362,0.000715168,0.000715168,0.000715168
7,721.869,2.3761,2.29715,0.00347,0.65961,0.20671,0.25687,0.11644,2.1085,2.26761,0.00381,0.000834564,0.000834564,0.000834564
8,817.474,2.38511,2.0053,0.00344,0.43157,0.39879,0.33407,0.13204,2.06908,1.89293,0.00362,0.000953487,0.000953487,0.000953487
9,923.005,2.30699,1.86032,0.00339,0.44388,0.44431,0.3785,0.15535,2.02819,1.75222,0.00364,0.00107194,0.00107194,0.00107194
10,1028.24,2.30328,1.72167,0.00334,0.50719,0.44658,0.33523,0.12379,2.12879,1.83197,0.00375,0.00109167,0.00109167,0.00109167
11,1133.43,2.19619,1.64952,0.00313,0.62537,0.42282,0.39409,0.16495,1.88575,1.79717,0.00335,0.00108952,0.00108952,0.00108952
12,1233.53,2.18875,1.63683,0.00312,0.41918,0.52106,0.4382,0.18281,1.93042,1.90333,0.00327,0.00108737,0.00108737,0.00108737
13,1317.31,2.13952,1.5615,0.00315,0.42885,0.52383,0.43966,0.18953,1.91506,1.92222,0.00335,0.00108522,0.00108522,0.00108522
14,1401.03,2.12184,1.57464,0.00319,0.63225,0.45334,0.46381,0.19999,1.91238,1.67838,0.00327,0.00108307,0.00108307,0.00108307
15,1499.04,2.1429,1.5431,0.00319,0.62859,0.4321,0.42378,0.17852,1.8892,1.66911,0.00333,0.00108092,0.00108092,0.00108092
16,1602.32,2.08095,1.47042,0.00302,0.43301,0.59102,0.49674,0.21504,1.86669,1.55575,0.00316,0.00107878,0.00107878,0.00107878
17,1711.53,2.12166,1.4838,0.00291,0.49997,0.60177,0.53477,0.24192,1.79834,1.45316,0.0032,0.00107663,0.00107663,0.00107663
18,1825.69,2.13415,1.44975,0.00299,0.55251,0.56586,0.56258,0.24409,1.78403,1.39798,0.00317,0.00107448,0.00107448,0.00107448
19,1929.62,2.16032,1.45874,0.00296,0.58637,0.56855,0.55744,0.24525,1.84554,1.34389,0.00318,0.00107233,0.00107233,0.00107233
20,2043.39,2.10363,1.38273,0.00287,0.50524,0.61351,0.58468,0.28017,1.75222,1.30351,0.00287,0.00107018,0.00107018,0.00107018
21,2143.24,2.02987,1.37318,0.00282,0.54761,0.60726,0.60879,0.29371,1.75014,1.26384,0.00289,0.00106804,0.00106804,0.00106804
22,2255.54,2.08012,1.37314,0.00281,0.53169,0.63354,0.60145,0.2902,1.76381,1.27814,0.00294,0.00106589,0.00106589,0.00106589
23,2363.32,1.97683,1.31439,0.00278,0.54206,0.6291,0.61456,0.28559,1.76442,1.27451,0.00306,0.00106374,0.00106374,0.00106374
24,2473.4,2.03293,1.2791,0.00268,0.58223,0.63897,0.62125,0.28167,1.85259,1.27685,0.00312,0.00106159,0.00106159,0.00106159
25,2583.97,2.09233,1.31321,0.00281,0.58689,0.60366,0.60424,0.28633,1.74313,1.23641,0.00303,0.00105944,0.00105944,0.00105944
